epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7148.64,0.59674,0.6308,1.10262,0.86142,0.85609,0.89072,0.72487,0.64659,0.63754,1.2105,0.0011882,0.0011882,0.0011882
43,7318.64,0.62367,0.60046,1.11537,0.8208,0.90508,0.90279,0.74009,0.633,0.63128,1.16321,0.0011684,0.0011684,0.0011684
44,7488.77,0.59339,0.59956,1.08258,0.87547,0.84198,0.89009,0.74119,0.59457,0.55823,1.15112,0.0011486,0.0011486,0.0011486
45,7658.32,0.58127,0.56227,1.08114,0.90528,0.80121,0.88622,0.72166,0.64731,0.56716,1.19886,0.0011288,0.0011288,0.0011288
46,7830.3,0.60455,0.59183,1.11114,0.83936,0.90733,0.90086,0.72877,0.64749,0.5523,1.18548,0.001109,0.001109,0.001109
47,8000.14,0.58638,0.57684,1.08719,0.84596,0.90419,0.90082,0.72989,0.61401,0.51324,1.14926,0.0010892,0.0010892,0.0010892
48,8171.75,0.5828,0.56648,1.07981,0.82213,0.88623,0.9028,0.752,0.59114,0.56599,1.12942,0.0010694,0.0010694,0.0010694
49,8340.83,0.59542,0.55877,1.09046,0.84635,0.8503,0.90343,0.76355,0.56439,0.5685,1.09679,0.0010496,0.0010496,0.0010496
50,8509.39,0.58118,0.55631,1.08211,0.89384,0.85629,0.91705,0.76724,0.58043,0.50959,1.1049,0.0010298,0.0010298,0.0010298
51,8676.49,0.58895,0.53724,1.09451,0.865,0.77844,0.8452,0.68592,0.69308,0.67996,1.2494,0.00101,0.00101,0.00101
52,8844.25,0.55539,0.50565,1.06556,0.85193,0.8613,0.88475,0.71901,0.60621,0.54347,1.15441,0.0009902,0.0009902,0.0009902
53,9013.08,0.54753,0.52053,1.0588,0.88239,0.84431,0.90689,0.75277,0.60273,0.5516,1.1348,0.0009704,0.0009704,0.0009704
54,9181.78,0.56142,0.53721,1.06293,0.85813,0.86928,0.89209,0.74705,0.59538,0.51266,1.12762,0.0009506,0.0009506,0.0009506
55,9349.21,0.57797,0.56149,1.09452,0.85844,0.8715,0.88886,0.73837,0.57334,0.50037,1.10992,0.0009308,0.0009308,0.0009308
56,9517.36,0.54866,0.55406,1.05365,0.85068,0.92108,0.90179,0.73702,0.59264,0.5027,1.13256,0.000911,0.000911,0.000911
57,9686.91,0.56634,0.51521,1.06926,0.88639,0.84092,0.91666,0.77092,0.56942,0.49912,1.11388,0.0008912,0.0008912,0.0008912
58,9854.44,0.56892,0.51698,1.0671,0.8493,0.91115,0.89691,0.7338,0.5836,0.54293,1.12252,0.0008714,0.0008714,0.0008714
59,10022.4,0.56644,0.50299,1.05492,0.82021,0.89222,0.89614,0.7186,0.63102,0.5708,1.1952,0.0008516,0.0008516,0.0008516
60,10189.8,0.56252,0.5205,1.07306,0.85619,0.85558,0.9011,0.74169,0.62407,0.55643,1.16611,0.0008318,0.0008318,0.0008318
61,10358.4,0.55899,0.51981,1.06707,0.79968,0.82635,0.83516,0.69086,0.70641,0.61856,1.28687,0.000812,0.000812,0.000812
62,10529.3,0.53371,0.49029,1.05069,0.80693,0.87595,0.88529,0.73237,0.5941,0.55498,1.14773,0.0007922,0.0007922,0.0007922
63,10698.9,0.54927,0.51514,1.0612,0.89546,0.87196,0.90444,0.76764,0.57424,0.50338,1.11493,0.0007724,0.0007724,0.0007724
64,10913,0.52986,0.48288,1.04985,0.8592,0.90419,0.89876,0.76232,0.58468,0.50774,1.12962,0.0007526,0.0007526,0.0007526
65,11112.6,0.52985,0.4832,1.04118,0.78729,0.89222,0.87135,0.72506,0.60151,0.54538,1.13668,0.0007328,0.0007328,0.0007328
66,11281.8,0.50307,0.46325,1.02947,0.86728,0.91018,0.89859,0.75066,0.54889,0.49635,1.09017,0.000713,0.000713,0.000713
67,11453.4,0.50457,0.44698,1.03839,0.881,0.88659,0.90834,0.77611,0.54625,0.46794,1.08711,0.0006932,0.0006932,0.0006932
68,11623,0.50847,0.4684,1.03516,0.88733,0.89599,0.91864,0.78096,0.55308,0.47512,1.09081,0.0006734,0.0006734,0.0006734
69,11792.7,0.5248,0.47654,1.04422,0.8879,0.87425,0.93049,0.79551,0.56365,0.4621,1.08719,0.0006536,0.0006536,0.0006536
70,11962.5,0.53656,0.49142,1.06082,0.84807,0.9025,0.91189,0.7689,0.58117,0.51383,1.10604,0.0006338,0.0006338,0.0006338
71,12134.3,0.4938,0.44722,1.03249,0.86219,0.8242,0.87708,0.75164,0.56797,0.60075,1.12074,0.000614,0.000614,0.000614
