epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3319.86,1.63402,1.53873,1.43737,0.86233,0.83632,0.85729,0.41681,1.03622,1.1723,0.99195,0.0011882,0.0011882,0.0011882
43,3400.25,1.40949,1.4787,1.34636,0.75472,0.73333,0.74421,0.41143,1.11412,1.17155,0.99714,0.0011684,0.0011684,0.0011684
44,3480.6,1.47472,1.56521,1.41645,0.52939,0.73333,0.52731,0.19077,1.30641,1.72762,1.09307,0.0011486,0.0011486,0.0011486
45,3560.95,1.35206,1.37773,1.31992,0.71073,0.86667,0.78564,0.4074,1.03327,1.06442,0.98055,0.0011288,0.0011288,0.0011288
46,3641.37,1.40471,1.29872,1.33087,0.92161,0.7848,0.85041,0.46232,0.94673,1.08231,0.91851,0.001109,0.001109,0.001109
47,3721.64,1.40916,1.32148,1.35874,0.76178,0.85342,0.86577,0.45791,1.01738,1.0145,0.97726,0.0010892,0.0010892,0.0010892
48,3802.68,1.3847,1.34768,1.32269,0.80153,0.80816,0.84489,0.45186,0.97809,1.01548,0.93007,0.0010694,0.0010694,0.0010694
49,3882.71,1.49145,1.34978,1.36735,0.68282,0.86138,0.78818,0.41406,1.0057,1.02515,0.95242,0.0010496,0.0010496,0.0010496
50,3962.78,1.41631,1.33125,1.32256,0.78878,0.74765,0.85702,0.42687,0.97758,1.19442,0.91464,0.0010298,0.0010298,0.0010298
51,4043.55,1.25027,1.21126,1.24247,0.95457,0.73333,0.90651,0.46989,0.95781,0.98582,0.93491,0.00101,0.00101,0.00101
52,4124.08,1.37864,1.27436,1.33251,0.87098,0.8,0.89574,0.48202,1.03632,0.9214,0.93719,0.0009902,0.0009902,0.0009902
53,4206.62,1.47005,1.31662,1.37403,0.85193,0.7684,0.88949,0.45338,1.0223,0.93929,0.92387,0.0009704,0.0009704,0.0009704
54,4286.75,1.32968,1.27955,1.30732,0.82433,0.8,0.89774,0.48509,0.97116,0.94352,0.9125,0.0009506,0.0009506,0.0009506
55,4366.87,1.29703,1.18702,1.30277,0.61636,0.96467,0.75283,0.39473,0.97933,1.07519,0.929,0.0009308,0.0009308,0.0009308
56,4447.39,1.35665,1.27921,1.31389,0.76374,0.86227,0.87153,0.42178,0.98991,1.04385,0.88521,0.000911,0.000911,0.000911
57,4528.09,1.29898,1.19231,1.28653,0.62748,0.89913,0.83147,0.39827,1.10711,1.10113,1.01659,0.0008912,0.0008912,0.0008912
58,4608.61,1.29874,1.1777,1.2521,0.55402,0.82889,0.7853,0.34284,1.11297,1.21473,0.98741,0.0008714,0.0008714,0.0008714
59,4688.58,1.40896,1.24929,1.3098,0.90618,0.73333,0.93053,0.3907,1.13627,1.0277,1.02575,0.0008516,0.0008516,0.0008516
60,4768.96,1.3953,1.27531,1.33616,0.72777,0.93333,0.89845,0.42465,1.05767,1.08495,0.90678,0.0008318,0.0008318,0.0008318
61,4849.35,1.42776,1.26252,1.27601,0.97157,0.73333,0.91017,0.47662,0.98866,1.03516,0.88053,0.000812,0.000812,0.000812
62,4929.53,1.3179,1.26626,1.27914,0.84764,0.74233,0.91615,0.47303,0.94988,1.05668,0.87928,0.0007922,0.0007922,0.0007922
63,5010.01,1.2299,1.10167,1.23595,0.81903,0.93333,0.87948,0.45232,1.02062,1.09142,0.87923,0.0007724,0.0007724,0.0007724
64,5089.95,1.24818,1.18854,1.25085,0.8535,0.77788,0.86449,0.50512,1.01088,1.00432,0.87969,0.0007526,0.0007526,0.0007526
65,5170.56,1.38551,1.41314,1.31375,0.88571,0.73333,0.87614,0.42521,1.09669,0.9131,0.95457,0.0007328,0.0007328,0.0007328
66,5251.16,1.37744,1.05559,1.29621,0.8406,0.8,0.84601,0.46808,1.02714,0.9831,0.93942,0.000713,0.000713,0.000713
67,5331.36,1.39842,1.14355,1.28767,0.99634,0.93333,0.96147,0.51759,0.95181,0.91241,0.87182,0.0006932,0.0006932,0.0006932
68,5412.24,1.23614,1.01073,1.1847,0.87243,0.91277,0.94493,0.48813,0.92036,0.94228,0.8627,0.0006734,0.0006734,0.0006734
69,5492.15,1.32253,1.09403,1.26223,0.86446,0.85124,0.91022,0.49574,0.90114,0.87879,0.83075,0.0006536,0.0006536,0.0006536
70,5573.11,1.17375,0.93643,1.195,0.82336,0.93231,0.89751,0.49502,0.97336,0.90251,0.83033,0.0006338,0.0006338,0.0006338
71,5653.99,1.28926,1.15389,1.22829,0.84217,0.86667,0.91336,0.49865,0.93298,0.90647,0.84592,0.000614,0.000614,0.000614
72,5734.48,1.18937,1.05211,1.17624,0.84918,0.86667,0.8882,0.50903,0.94281,0.89214,0.85681,0.0005942,0.0005942,0.0005942
73,5815.34,1.20947,1.09586,1.22372,0.82477,0.86667,0.888,0.48384,0.98095,0.8906,0.8735,0.0005744,0.0005744,0.0005744
74,5895.69,1.18603,1.02337,1.21823,0.77289,0.93333,0.90837,0.49367,0.9755,0.85527,0.90861,0.0005546,0.0005546,0.0005546
75,5975.91,1.16735,1.07436,1.1842,0.82139,0.93333,0.91838,0.53285,0.97129,0.88981,0.91252,0.0005348,0.0005348,0.0005348
76,6056.13,1.18291,1.05001,1.19783,0.98017,0.93333,0.93613,0.54352,0.98842,0.8552,0.86697,0.000515,0.000515,0.000515
